학정번호,교과목명,전공구분
GBL2001,유기화학입문,전기
GBL2004,바이오생활생물1,전기
GBL2005,바이오생활화학1,전기
GBL2006,바이오생활생물2,전기
GBL2007,바이오생활화학2,전기
GBL2008,응용생화학,전기
GBL2002,기능성식품학개론,전필
GBL2003,바이오화장품학개론,전필
GBL3001,바이오기능성소재학,전필
GBL3201,바이오생활기초실험,전필
GBL1001,바이오생활공학입문,전선
GBL1002,바이오생활융합과학개론,전선
GBL3002,핵심미생물학,전선
GBL3003,피부생명과학,전선
GBL3004,바이오통계학,전선
GBL3005,미래바이오헬스케어,전선
GBL3203,식품화학개론,전선
GBL4001,바이오생활창의설계1,전선
GBL4002,바이오생활창의설계2,전선
GBL4003,기기분석학,전선
GBL4004,화장품제형공학,전선
GBL4005,바이오안전및독성학,전선
GBL4006,첨단발효공학,전선
GBL4007,바이오헬스케어기술과산업,전선
GBL4008,푸드테크과학기술특론,전선
GBL4201,바이오생활전공실험1,전선
GBL4202,바이오생활전공실험2,전선
